"cloneUrl","branch","origin","path","org"
"https://github.com/openrewrite/.github.git","main","github.com","openrewrite/.github","openrewrite"
"https://github.com/openrewrite/break-your-testing-habits.git","main","github.com","openrewrite/break-your-testing-habits","openrewrite"
"https://github.com/openrewrite/collaboration-proposals.git","main","github.com","openrewrite/collaboration-proposals","openrewrite"
"https://github.com/openrewrite/gh-automation.git","main","github.com","openrewrite/gh-automation","openrewrite"
"https://github.com/openrewrite/h2database.git","master-2.2.224","github.com","openrewrite/h2database","openrewrite"
"https://github.com/openrewrite/java-object-diff.git","master","github.com","openrewrite/java-object-diff","openrewrite"
"https://github.com/openrewrite/jgit.git","main","github.com","openrewrite/jgit","openrewrite"
"https://github.com/openrewrite/moderneinc__git-test.git","main","github.com","openrewrite/moderneinc__git-test","openrewrite"
"https://github.com/openrewrite/openrewrite.github.io.git","main","github.com","openrewrite/openrewrite.github.io","openrewrite"
"https://github.com/openrewrite/proleap-cobol-parser.git","master","github.com","openrewrite/proleap-cobol-parser","openrewrite"
"https://github.com/openrewrite/rewrite-all.git","main","github.com","openrewrite/rewrite-all","openrewrite"
"https://github.com/openrewrite/rewrite-analysis.git","main","github.com","openrewrite/rewrite-analysis","openrewrite"
"https://github.com/openrewrite/rewrite-apache.git","main","github.com","openrewrite/rewrite-apache","openrewrite"
"https://github.com/openrewrite/rewrite-build-gradle-plugin.git","main","github.com","openrewrite/rewrite-build-gradle-plugin","openrewrite"
"https://github.com/openrewrite/rewrite-csharp-recipes.git","main","github.com","openrewrite/rewrite-csharp-recipes","openrewrite"
"https://github.com/openrewrite/rewrite-csharp.git","main","github.com","openrewrite/rewrite-csharp","openrewrite"
"https://github.com/openrewrite/rewrite-cucumber-jvm.git","main","github.com","openrewrite/rewrite-cucumber-jvm","openrewrite"
"https://github.com/openrewrite/rewrite-docker.git","main","github.com","openrewrite/rewrite-docker","openrewrite"
"https://github.com/openrewrite/rewrite-docs.git","master","github.com","openrewrite/rewrite-docs","openrewrite"
"https://github.com/openrewrite/rewrite-dropwizard.git","main","github.com","openrewrite/rewrite-dropwizard","openrewrite"
"https://github.com/openrewrite/rewrite-feature-flags.git","main","github.com","openrewrite/rewrite-feature-flags","openrewrite"
